Cyanocitta stelleri (Steller's Jay)
Pica nuttalli (Yellow-billed Magpie)
Tyrannus verticalis (Western Kingbird)
Meleagris gallopavo (Wild Turkey)
Sialia currucoides (Mountain Bluebird)
Passerella iliaca (Fox Sparrow)
Vireo huttoni (Hutton's Vireo)
Zonotrichia atricapilla (Golden-crowned Sparrow)
Icterus cucullatus (Hooded Oriole)
Pipilo maculatus (Spotted Towhee)
Picoides nuttallii (Nuttall's Woodpecker)
Picoides pubescens (Downy Woodpecker)
Callipepla californica (California Quail)
Dryocopus pileatus (Pileated Woodpecker)
Melanerpes lewis (Lewis's Woodpecker)
Salpinctes obsoletus (Rock Wren)
Melanerpes formicivorus (Acorn Woodpecker)
Colaptes auratus (Northern Flicker)
Athene cunicularia (Burrowing Owl)
Junco hyemalis (Dark-eyed Junco)
Nucifraga columbiana (Clark's Nutcracker)
Passerina amoena (Lazuli Bunting)
Pheucticus melanocephalus (Black-headed Grosbeak)
Euphagus cyanocephalus (Brewer's Blackbird)
Molothrus ater (Brown-headed Cowbird)
Loxia curvirostra (Red Crossbill)
Chondestes grammacus (Lark Sparrow)
Regulus calendula (Ruby-crowned Kinglet)
Regulus satrapa (Golden-crowned Kinglet)
Icterus bullockii (Bullock's Oriole)
Eremophila alpestris (Horned Lark)
Piranga ludoviciana (Western Tanager)
Patagioenas fasciata (Band-tailed Pigeon)
Phalaenoptilus nuttallii (Common Poorwill)
Haemorhous mexicanus (House Finch)
Haemorhous purpureus (Purple Finch)
Megascops kennicottii (Western Screech-Owl)
Bubo virginianus (Great Horned Owl)
Hirundo rustica (Barn Swallow)
Tachycineta thalassina (Violet-green Swallow)
Corvus corax (Common Raven)
Meleagris gallopavo intermedia (Rio Grande Wild Turkey)
Aegolius acadicus (Northern Saw-whet Owl)
Polioptila caerulea (Blue-gray Gnatcatcher)
Spizella passerina (Chipping Sparrow)
Zenaida macroura (Mourning Dove)
Turdus migratorius (American Robin)
Falco peregrinus (Peregrine Falcon)
Falco columbarius (Merlin)
Catharus ustulatus (Swainson's Thrush)
Catharus guttatus (Hermit Thrush)
Sialia mexicana (Western Bluebird)
Cathartes aura (Turkey Vulture)
Aquila chrysaetos (Golden Eagle)
Buteo lineatus (Red-shouldered Hawk)
Buteo jamaicensis (Red-tailed Hawk)
Baeolophus inornatus (Oak Titmouse)
Melospiza melodia (Song Sparrow)
Certhia americana (Brown Creeper)
Poecile rufescens (Chestnut-backed Chickadee)
Petrochelidon pyrrhonota (Cliff Swallow)
Passer domesticus (House Sparrow)
Ixoreus naevius (Varied Thrush)
Setophaga ruticilla (American Redstart)
Zonotrichia leucophrys (White-crowned Sparrow)
Oreothlypis celata (Orange-crowned Warbler)
Setophaga petechia (Yellow Warbler)
Setophaga coronata (Yellow-rumped Warbler)
Setophaga townsendi (Townsend's Warbler)
Spinus pinus (Pine Siskin)
Spinus psaltria (Lesser Goldfinch)
Spinus lawrencei (Lawrence's Goldfinch)
Spinus tristis (American Goldfinch)
Accipiter cooperii (Cooper's Hawk)
Hirundo rustica erythrogaster (American Barn Swallow)
Calypte anna (Anna's Hummingbird)
Selasphorus sasin (Allen's Hummingbird)
Archilochus alexandri (Black-chinned Hummingbird)
Aeronautes saxatalis (White-throated Swift)
Lanius ludovicianus (Loggerhead Shrike)
Sitta pygmaea (Pygmy Nuthatch)
Sturnus vulgaris (European Starling)
Toxostoma redivivum (California Thrasher)
Sitta carolinensis (White-breasted Nuthatch)
Chamaea fasciata (Wrentit)
Sayornis saya (Say's Phoebe)
Corvus brachyrhynchos (American Crow)
Meleagris gallopavo silvestris (Eastern Wild Turkey)
Psaltriparus minimus (Bushtit)
Mimus polyglottos (Northern Mockingbird)
Bombycilla cedrorum (Cedar Waxwing)
Catherpes mexicanus (Canyon Wren)
Melozone crissalis (California Towhee)
Buteo lineatus elegans (California Red-shouldered Hawk)
Thryomanes bewickii (Bewick's Wren)
Myiarchus cinerascens (Ash-throated Flycatcher)
Sturnella neglecta (Western Meadowlark)
Contopus sordidulus (Western Wood-Pewee)
Contopus cooperi (Olive-sided Flycatcher)
Tyto alba (Barn Owl)
